	C_sinensis_GCF_004153795.1_AHAU_CSS_1_protein	ptanmaker17.all.maker.proteins	uniprot-monotropa+hypopitys	uniprot-vaccinium+corymbosum
C_sinensis_GCF_004153795.1_AHAU_CSS_1_protein	12167	3363	56	141
ptanmaker17.all.maker.proteins	3363	4898	32	50
uniprot-monotropa+hypopitys	56	32	62	8
uniprot-vaccinium+corymbosum	141	50	8	145
