Orthogroup	C_sinensis_GCF_004153795.1_AHAU_CSS_1_protein	ptanmaker17.all.maker.proteins	uniprot-monotropa+hypopitys	uniprot-vaccinium+corymbosum	Total
OG0000731	19	0	0	0	19
OG0000732	19	0	0	0	19
OG0000733	19	0	0	0	19
OG0000734	19	0	0	0	19
OG0000735	19	0	0	0	19
OG0000736	19	0	0	0	19
OG0000737	18	1	0	0	19
OG0000738	19	0	0	0	19
OG0000739	19	0	0	0	19
OG0000740	19	0	0	0	19
OG0000741	18	1	0	0	19
OG0000742	18	1	0	0	19
OG0000743	19	0	0	0	19
OG0000744	19	0	0	0	19
OG0000745	19	0	0	0	19
OG0000746	19	0	0	0	19
OG0000747	19	0	0	0	19
OG0000748	19	0	0	0	19
OG0000749	19	0	0	0	19
OG0000750	19	0	0	0	19
OG0000751	19	0	0	0	19
OG0000752	1	18	0	0	19
OG0000753	1	12	4	2	19
OG0000754	0	19	0	0	19
OG0000755	0	19	0	0	19
OG0000756	0	19	0	0	19
OG0000757	18	0	0	0	18
OG0000758	18	0	0	0	18
OG0000759	18	0	0	0	18
OG0000760	18	0	0	0	18
OG0000761	16	2	0	0	18
OG0000762	18	0	0	0	18
OG0000763	18	0	0	0	18
OG0000764	18	0	0	0	18
OG0000765	18	0	0	0	18
OG0000766	18	0	0	0	18
OG0000767	18	0	0	0	18
OG0000768	18	0	0	0	18
OG0000769	16	2	0	0	18
OG0000770	18	0	0	0	18
OG0000771	18	0	0	0	18
OG0000772	18	0	0	0	18
OG0000773	18	0	0	0	18
OG0000774	18	0	0	0	18
OG0000775	17	1	0	0	18
OG0000776	14	4	0	0	18
OG0000777	17	1	0	0	18
OG0000778	18	0	0	0	18
OG0000779	18	0	0	0	18
OG0000780	18	0	0	0	18
OG0000781	18	0	0	0	18
OG0000782	18	0	0	0	18
OG0000783	17	1	0	0	18
OG0000784	15	1	0	2	18
OG0000785	18	0	0	0	18
OG0000786	18	0	0	0	18
OG0000787	18	0	0	0	18
OG0000788	18	0	0	0	18
OG0000789	18	0	0	0	18
OG0000790	18	0	0	0	18
OG0000791	18	0	0	0	18
OG0000792	18	0	0	0	18
OG0000793	18	0	0	0	18
OG0000794	18	0	0	0	18
OG0000795	18	0	0	0	18
OG0000796	18	0	0	0	18
OG0000797	18	0	0	0	18
OG0000798	18	0	0	0	18
OG0000799	18	0	0	0	18
OG0000800	18	0	0	0	18
OG0000801	18	0	0	0	18
OG0000802	18	0	0	0	18
OG0000803	18	0	0	0	18
OG0000804	18	0	0	0	18
OG0000805	18	0	0	0	18
OG0000806	17	1	0	0	18
OG0000807	18	0	0	0	18
OG0000808	18	0	0	0	18
OG0000809	18	0	0	0	18
OG0000810	18	0	0	0	18
OG0000811	18	0	0	0	18
OG0000812	17	1	0	0	18
OG0000813	18	0	0	0	18
OG0000814	18	0	0	0	18
OG0000815	18	0	0	0	18
OG0000816	18	0	0	0	18
OG0000817	18	0	0	0	18
OG0000818	18	0	0	0	18
OG0000819	18	0	0	0	18
OG0000820	18	0	0	0	18
OG0000821	18	0	0	0	18
OG0000822	18	0	0	0	18
OG0000823	18	0	0	0	18
OG0000824	6	12	0	0	18
OG0000825	18	0	0	0	18
OG0000826	18	0	0	0	18
OG0000827	0	18	0	0	18
OG0000828	0	18	0	0	18
OG0000829	0	18	0	0	18
OG0000830	0	18	0	0	18
OG0000831	0	18	0	0	18
OG0000832	0	18	0	0	18
OG0000833	17	0	0	0	17
OG0000834	17	0	0	0	17
OG0000835	17	0	0	0	17
OG0000836	17	0	0	0	17
OG0000837	17	0	0	0	17
OG0000838	17	0	0	0	17
OG0000839	17	0	0	0	17
OG0000840	17	0	0	0	17
OG0000841	17	0	0	0	17
OG0000842	17	0	0	0	17
OG0000843	17	0	0	0	17
OG0000844	16	1	0	0	17
OG0000845	15	2	0	0	17
OG0000846	17	0	0	0	17
OG0000847	16	1	0	0	17
OG0000848	17	0	0	0	17
OG0000849	17	0	0	0	17
OG0000850	17	0	0	0	17
OG0000851	16	1	0	0	17
OG0000852	17	0	0	0	17
OG0000853	17	0	0	0	17
OG0000854	17	0	0	0	17
OG0000855	3	14	0	0	17
OG0000856	17	0	0	0	17
